net,length_um
eFPGA_top_i.eFPGA_inst.Tile_X8Y8_E1BEG\[2\],1.06015mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y4_E6BEG\[3\],1.05943mm
net144,1.05289mm
_0469_,1.0477mm
_0462_,1.0473mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_E1BEG\[1\],1.03612mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y11_E1BEG\[3\],1.02654mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y8_EE4BEG\[5\],1.01378mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y4_EE4BEG\[3\],1.01003mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y7_E1BEG\[1\],1.00958mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y11_E1BEG\[2\],1.00119mm
_0460_,997.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_WW4BEG\[3\],995.76µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y5_E1BEG\[2\],990.39µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y2_E1BEG\[2\],990.12µm
net102,989.98µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_EE4BEG\[3\],987.19µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y4_E1BEG\[3\],981.32µm
_0464_,979.58µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y10_E1BEG\[3\],971.59µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y5_E2BEGb\[5\],950.47µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y6_W6BEG\[3\],944.32µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y7_FAB2RAM_C_O0,935.69µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_E1BEG\[3\],933.81µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y11_EE4BEG\[11\],908.01µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y5_EE4BEG\[10\],907.75µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[3\],906.37µm
eFPGA_top_i.FrameData\[400\],902.18µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y4_WW4BEG\[10\],881.54µm
eFPGA_top_i.FrameData\[136\],878.79µm
_0465_,877.46µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y10_W2BEGb\[4\],869.63µm
_0470_,863.46µm
eFPGA_top_i.FrameSelect\[3\],848.06µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y7_FAB2RAM_D1_O0,817.9µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y5_FAB2RAM_D2_O0,811.31µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y3_FAB2RAM_D1_O0,809.37µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_FAB2RAM_D1_O0,809.23µm
